rating;user;place
2;Felix Barrett;Taman Agrowisata Cilangkap
3;Felix Barrett;Perpustakaan Nasional
4;Felix Barrett;Taman Suropati
2;Felix Barrett;Alun-Alun Kota Bandung
4;Felix Barrett;Keraton Yogyakarta
5;Felix Barrett;Candi Donotirto
3;Felix Barrett;Upside Down World Bandung
4;Felix Barrett;Watu Lumbung
2;Felix Barrett;Kampoeng Kopi Banaran
2;Felix Barrett;Candi Sewu
2;Felix Barrett;Museum Gunung Merapi
3;Felix Barrett;Tebing Breksi
4;Felix Barrett;Museum Nasional
5;Felix Barrett;Gumuk Pasir Parangkusumo
3;Felix Barrett;Desa Wisata Gamplong
3;Felix Barrett;Museum Sri Baduga
3;Felix Barrett;Panghegar Waterboom Bandung
4;Felix Barrett;Taman Budaya Yogyakarta
5;Felix Barrett;Pantai Greweng
2;Kelley Carson;Museum Joang 45
2;Kelley Carson;Semarang Chinatown
4;Kelley Carson;Sudut Pandang Bandung
4;Kelley Carson;Curug Dago
3;Kelley Carson;Museum Satria Mandala
5;Kelley Carson;Pura Giri Natha
3;Kelley Carson;Rumah Batik
3;Kelley Carson;Museum Benteng Vredeburg Yogyakarta
4;Kelley Carson;Taman Mini Indonesia Indah (TMII)
3;Kelley Carson;La Kana Chapel
5;Kelley Carson;The Escape Hunt
4;Kelley Carson;Pasar Seni
3;Kelley Carson;Situs Warungboto
5;Kelley Carson;Candi Sewu
3;Kelley Carson;Taman Hutan Raya Ir. H. Juanda
2;Kelley Carson;Monumen Selamat Datang
5;Kelley Carson;Pulau Pelangi
3;Kelley Carson;Kebun Bibit Wonorejo
2;Kelley Carson;Taman Tabanas
2;Kelley Carson;Rabbit Town
3;Kelley Carson;Museum Pendidikan Nasional
5;Kelley Carson;Atlantis Water Adventure
5;Kelley Carson;Taman Film
5;Kelley Carson;Observatorium Bosscha
2;Kelley Carson;Museum Tengah Kebun
2;Kelley Carson;Monumen Yogya Kembali
4;Hoyt Clay;Museum Kesehatan Dr. Adhyatma
2;Hoyt Clay;Jogja Exotarium
5;Hoyt Clay;Taman Flora Bratang Surabaya
2;Hoyt Clay;Taman Prestasi
4;Hoyt Clay;Sanghyang Heuleut
3;Hoyt Clay;Glamping Lakeside Rancabali
5;Hoyt Clay;Pasar Petak Sembilan
5;Hoyt Clay;Klenteng Jin De Yuan
4;Hoyt Clay;Taman Bungkul
5;Hoyt Clay;Pelabuhan Marina
3;Hoyt Clay;Kebun Teh Nglinggo
5;Hoyt Clay;Desa Wisata Kelor
3;Hoyt Clay;Taman Mini Indonesia Indah (TMII)
3;Hoyt Clay;Tugu Proklamasi
3;Hoyt Clay;Glamping Lakeside Rancabali
2;Hoyt Clay;Hutan Pinus Asri
5;Hoyt Clay;Taman Kunang-Kunang
2;Hoyt Clay;Flower Farm Setiya Aji
3;Hoyt Clay;Taman Ekspresi Dan Perpustakaan
2;Hoyt Clay;Lereng Anteng Panoramic Coffee Place
4;Hoyt Clay;Seribu Batu Songgo Langit
2;Hoyt Clay;Sea World
4;Hoyt Clay;Jembatan Pasupati
2;Hoyt Clay;Pantai Samas
4;Hoyt Clay;Indonesia Kaya Park
4;Hoyt Clay;Margasatwa Muara Angke
3;Hoyt Clay;Tugu Muda Semarang
3;Hoyt Clay;Kampoeng Rawa
4;Hoyt Clay;Museum Mpu Tantular
2;Hoyt Clay;Lereng Anteng Panoramic Coffee Place
3;Hoyt Clay;Surabaya Museum (Gedung Siola)
3;Hoyt Clay;Candi Gedong Songo
3;Hoyt Clay;Monumen Sanapati
4;Stevie Alexander;Museum Mpu Tantular
2;Stevie Alexander;Chingu Cafe Little Seoul
2;Stevie Alexander;Pura Giri Natha
2;Stevie Alexander;Tebing Karaton
3;Stevie Alexander;Goa Pindul
3;Stevie Alexander;Caringin Tilu
2;Stevie Alexander;Nol Kilometer Jl.Malioboro
5;Stevie Alexander;Museum Sasmita Loka Ahmad Yani
4;Stevie Alexander;Monumen Batik Yogyakarta
5;Stevie Alexander;Kebun Teh Nglinggo
2;Stevie Alexander;Monumen Bandung Lautan Api
5;Stevie Alexander;Kampung Korea Bandung
5;Stevie Alexander;Indonesia Kaya Park
5;Stevie Alexander;Jurang Tembelan Kanigoro
2;Stevie Alexander;Taman Bunga Celosia
4;Stevie Alexander;Candi Prambanan
4;Stevie Alexander;Kampung Batik Gedong Semarang
5;Stevie Alexander;Taman Buah Surabaya
5;Stevie Alexander;Museum Sasmita Loka Ahmad Yani
5;Stevie Alexander;Museum Benteng Vredeburg Yogyakarta
2;Stevie Alexander;Lava Bantal
2;Stevie Alexander;Taman Harmoni Keputih
4;Stevie Alexander;Taman Mini Indonesia Indah (TMII)
3;Stevie Alexander;Gunung Lalakon
2;Stevie Alexander;Ciputra Waterpark
5;Stevie Alexander;Dago Dreampark
4;Stevie Alexander;Goa Rong
2;Stevie Alexander;Kampoeng Kopi Banaran
5;Cary Obrien;Museum Barli
3;Cary Obrien;Bumi Perkemahan Batu Kuda
3;Cary Obrien;Gedung Sate
3;Cary Obrien;Museum Sri Baduga
5;Cary Obrien;Pantai Goa Cemara
5;Cary Obrien;Air Terjun Sri Gethuk
4;Cary Obrien;Semarang Chinatown
5;Cary Obrien;Jogja Bay Pirates Adventure Waterpark
4;Cary Obrien;Bukit Lintang Sewu
4;Cary Obrien;Masjid Al-Imtizaj
3;Cary Obrien;Batununggal Indah Club
3;Cary Obrien;Gedung Sate
5;Cary Obrien;Panghegar Waterboom Bandung
4;Cary Obrien;Kampung Wisata Kadipaten
4;Cary Obrien;Museum Benteng Vredeburg Yogyakarta
3;Cary Obrien;Goa Rancang Kencono
2;Cary Obrien;Pulau Pramuka
5;Cary Obrien;La Kana Chapel
4;Cary Obrien;Jogja Bay Pirates Adventure Waterpark
4;Cary Obrien;Kiara Artha Park
3;Cary Obrien;Wisata Alam Mangrove Angke
4;Cary Obrien;Gunung Lalakon
4;Cary Obrien;Museum Pendidikan Nasional
5;Cary Obrien;Kampung Batik Gedong Semarang
5;Cary Obrien;Taman Hutan Tebet
2;Cary Obrien;Bangsal Pagelaran
3;Cary Obrien;Taman Hutan Tebet
5;Maritza Orozco;Pantai Pok Tunggal
3;Maritza Orozco;Lereng Anteng Panoramic Coffee Place
2;Maritza Orozco;Museum Pendidikan Nasional
5;Maritza Orozco;Bukit Jamur
4;Maritza Orozco;Sungai Palayangan
5;Maritza Orozco;Taman Pelangi Yogyakarta
4;Maritza Orozco;Gua Belanda
2;Maritza Orozco;Jakarta Aquarium dan Safari
3;Maritza Orozco;Pantai Nglambor
2;Maritza Orozco;Sungai Palayangan
5;Maritza Orozco;Taman Harmoni Keputih
5;Maritza Orozco;Taman Prestasi
3;Maritza Orozco;De Mata Museum Jogja
4;Maritza Orozco;Museum Mpu Tantular
5;Maritza Orozco;Seribu Batu Songgo Langit
3;Maritza Orozco;Curug Cipanas
5;Maritza Orozco;Pasar Tanah Abang
2;Maritza Orozco;Taman Pelangi Yogyakarta
3;Maritza Orozco;Studio Alam Gamplong
5;Maritza Orozco;Masjid Raya Bandung
2;Maritza Orozco;Kampoeng Rawa
5;Maritza Orozco;Pintoe Langit Dahromo
4;Maritza Orozco;Panama Park 825
3;Maritza Orozco;Pantai Ngandong
2;Maritza Orozco;Pantai Ancol
3;Maritza Orozco;Taman Menteng
3;Maritza Orozco;Gunung Manglayang
4;Maritza Orozco;Taman Film
3;Geraldo Sheppard;Food Junction Grand Pakuwon
4;Geraldo Sheppard;Pantai Ngrenehan
4;Geraldo Sheppard;Kebun Bibit Wonorejo
4;Geraldo Sheppard;Klenteng Jin De Yuan
3;Geraldo Sheppard;Taman Menteng
5;Geraldo Sheppard;Curug Tilu Leuwi Opat
3;Geraldo Sheppard;Food Junction Grand Pakuwon
2;Geraldo Sheppard;Taman Menteng
4;Geraldo Sheppard;Taman Bunga Cihideung
4;Geraldo Sheppard;Klenteng Sanggar Agung
4;Geraldo Sheppard;Situ Cileunca
3;Geraldo Sheppard;Wisata Kaliurang
3;Geraldo Sheppard;GunungTangkuban perahu
5;Geraldo Sheppard;Wisata Agro Edukatif Istana Susu Cibugary
3;Geraldo Sheppard;Gereja Katedral Santo Petrus Bandung
3;Geraldo Sheppard;Curug Dago
3;Geraldo Sheppard;Taman Barunawati
4;Geraldo Sheppard;Selasar Sunaryo Art Space
4;Geraldo Sheppard;Museum Mandala Wangsit Siliwangi
4;Geraldo Sheppard;Kyotoku Floating Market
4;Geraldo Sheppard;Pantai Sadranan
3;Geraldo Sheppard;Taman Agrowisata Cilangkap
5;Geraldo Sheppard;Surabaya Museum (Gedung Siola)
4;Geraldo Sheppard;Keraton Surabaya
5;Geraldo Sheppard;Jembatan Biru Ambarawa
4;Geraldo Sheppard;Gunung Papandayan
5;Geraldo Sheppard;Desa Wisata Sungai Code Jogja Kota
2;Geraldo Sheppard;Candi Donotirto
5;Geraldo Sheppard;Gunung Papandayan
2;Geraldo Sheppard;Desa Wisata Pulesari
5;Geraldo Sheppard;Orchid Forest Cikole
2;Geraldo Sheppard;Desa Wisata Pulesari
5;Geraldo Sheppard;Hutan Wisata Tinjomoyo Semarang
3;Joan Kidd;Desa Wisata Rumah Domes/Teletubbies
4;Joan Kidd;Skyrink - Mall Taman Anggrek
5;Joan Kidd;Pantai Timang
2;Joan Kidd;Pulau Pari
5;Joan Kidd;Desa Wisata Gamplong
4;Joan Kidd;Gereja Tiberias Indonesia Bandung
4;Joan Kidd;Taman Balai Kota Bandung
5;Joan Kidd;Desa Wisata Sungai Code Jogja Kota
3;Joan Kidd;Pantai Marina
5;Joan Kidd;Museum Bank Indonesia
3;Joan Kidd;Museum Seni Rupa dan Kramik
5;Joan Kidd;Kampung Wisata Taman Sari
5;Joan Kidd;Gereja Tiberias Indonesia Bandung
4;Joan Kidd;SnowBay Waterpark
5;Joan Kidd;Museum Kebangkitan Nasional
5;Joan Kidd;Desa Wisata Tembi
3;Joan Kidd;Sudut Pandang Bandung
3;Joan Kidd;Amazing Art World
3;Joan Kidd;Pasar Baru
3;Joan Kidd;Surabaya North Quay
4;Joan Kidd;Stone Garden Citatah
3;Joan Kidd;Pantai Jungwok
3;Joan Kidd;Sam Poo Kong Temple
2;Joan Kidd;Hutan Pinus Asri
2;Joan Kidd;Taman Hutan Tebet
2;Joan Kidd;Gereja Katedral
5;Joan Kidd;Margasatwa Muara Angke
4;Joan Kidd;Grand Indonesia Mall
2;Eddy Mayer;Rabbit Town
2;Eddy Mayer;Kawasan Punclut
3;Eddy Mayer;Taman Bunga Cihideung
3;Eddy Mayer;Atlantis Land Surabaya
3;Eddy Mayer;Bangsal Pagelaran
5;Eddy Mayer;Bumi Perkemahan Cibubur
5;Eddy Mayer;Bukit Jamur
2;Eddy Mayer;Hutan Pinus Pengger
4;Eddy Mayer;Hutan Wisata Tinjomoyo Semarang
2;Eddy Mayer;Wisata Kaliurang
4;Eddy Mayer;Monumen Yogya Kembali
3;Eddy Mayer;Museum Bahari Jakarta
4;Eddy Mayer;Umbul Sidomukti
2;Eddy Mayer;Museum Satria Mandala
4;Eddy Mayer;Semarang Chinatown
4;Eddy Mayer;Kebun Bibit Wonorejo
4;Eddy Mayer;Pantai Glagah
3;Eddy Mayer;Museum Benteng Vredeburg Yogyakarta
2;Eddy Mayer;Jembatan Biru Ambarawa
5;Eddy Mayer;Desa Wisata Kelor
2;Eddy Mayer;Goa Cerme
5;Eddy Mayer;Taman Impian Jaya Ancol
2;Eddy Mayer;Wisata Kraton Jogja
3;Eddy Mayer;Pulau Bidadari
3;Eddy Mayer;Blue Lagoon Jogja
2;Eddy Mayer;Taman Impian Jaya Ancol
5;Eddy Mayer;Atlantis Water Adventure
2;Eddy Mayer;Taman Balai Kota Bandung
3;Jamey Stark;House of Sampoerna
3;Jamey Stark;Pantai Wediombo
2;Jamey Stark;Sea World
3;Jamey Stark;Taman Balai Kota Bandung
5;Jamey Stark;Galeri Indonesia Kaya
5;Jamey Stark;Monumen Palagan Ambarawa
5;Jamey Stark;Sumur Gumuling
4;Jamey Stark;Kawasan Punclut
4;Jamey Stark;Babakan Siliwangi City Forest Path Bandung
5;Jamey Stark;Waterboom PIK (Pantai Indah Kapuk)
5;Jamey Stark;Jogja Bay Pirates Adventure Waterpark
4;Jamey Stark;Museum Mandala Wangsit Siliwangi
5;Jamey Stark;Lereng Anteng Panoramic Coffee Place
4;Jamey Stark;Pulau Semak Daun
2;Jamey Stark;Museum Basoeki Abdullah
5;Jamey Stark;Galaxy Waterpark Jogja
4;Jamey Stark;Goa Rong
4;Jamey Stark;Puncak Gunung Api Purba - Nglanggeran
5;Jamey Stark;Atlantis Water Adventure
2;Jamey Stark;Bunker Kaliadem Merapi
5;Jamey Stark;Taman Hutan Raya Ir. H. Juanda
5;Jamey Stark;Pantai Ngrawe (Mesra)
5;Jamey Stark;Cibubur Garden Diary (Cibugary)
3;Jamey Stark;Masjid Pusdai
5;Jamey Stark;SnowBay Waterpark
5;Jamey Stark;Taman Menteng
3;Jamey Stark;Kampung Cina
3;Jamey Stark;Sea World
5;Jamey Stark;Monumen Batik Yogyakarta
2;Jamey Stark;Gumuk Pasir Parangkusumo
5;Jamey Stark;Taman Badak
4;Jamey Stark;Museum Satria Mandala
3;Jamey Stark;Food Junction Grand Pakuwon
2;Jamey Stark;Taman Pelangi Yogyakarta
2;Saul Villa;Taman Buah Surabaya
2;Saul Villa;Museum Basoeki Abdullah
2;Saul Villa;Taman Buah Surabaya
5;Saul Villa;Wisata Eling Bening
4;Saul Villa;Monumen Jalesveva Jayamahe
5;Saul Villa;Trans Studio Bandung
2;Saul Villa;Museum Taman Prasasti
5;Saul Villa;The Lost World Castle
2;Saul Villa;Rabbit Town
5;Saul Villa;Pantai Ancol
4;Saul Villa;Museum Mandala Wangsit Siliwangi
4;Saul Villa;Bukit Lintang Sewu
5;Saul Villa;SnowBay Waterpark
2;Saul Villa;Batununggal Indah Club
2;Saul Villa;Pantai Drini
3;Saul Villa;Pantai Pulang Sawal
2;Saul Villa;Pantai Parangtritis
5;Saul Villa;Gereja Perawan Maria Tak Berdosa Surabaya
2;Saul Villa;Kebun Bibit Wonorejo
2;Saul Villa;Museum Pendidikan Nasional
4;Saul Villa;Watu Mabur Mangunan
3;Saul Villa;Curug Dago
2;Saul Villa;Goa Pindul
5;Saul Villa;Ledok Sambi
4;Saul Villa;Jendela Alam
5;Damon Joseph;Margasatwa Muara Angke
3;Damon Joseph;Saung Angklung Mang Udjo
4;Damon Joseph;Monumen Jalesveva Jayamahe
2;Damon Joseph;Museum Benteng Vredeburg Yogyakarta
4;Damon Joseph;Museum Sonobudoyo Unit I
2;Damon Joseph;Pantai Marina
4;Damon Joseph;Alun-Alun Kota Bandung
5;Damon Joseph;Monumen Perjuangan Rakyat Jawa Barat
5;Damon Joseph;Semarang Chinatown
3;Damon Joseph;Kampoeng Rawa
2;Damon Joseph;Monumen Kapal Selam
3;Damon Joseph;Geoforest Watu Payung Turunan
2;Damon Joseph;Pulau Bidadari
5;Damon Joseph;Stone Garden Citatah
2;Damon Joseph;Taman Agrowisata Cilangkap
3;Damon Joseph;Situ Cileunca
5;Damon Joseph;Upside Down World Bandung
2;Damon Joseph;Alun Alun Selatan Yogyakarta
2;Damon Joseph;Museum Joang 45
4;Damon Joseph;Ocean Ecopark
3;Damon Joseph;Gunung Papandayan
2;Damon Joseph;Danau Rawa Pening
5;Damon Joseph;Pantai Nglambor
5;Damon Joseph;Taman Air Mancur Menari Kenjeran
4;Damon Joseph;Geoforest Watu Payung Turunan
2;Damon Joseph;Taman Film
3;Damon Joseph;Museum Sumpah Pemuda
4;Damon Joseph;Babakan Siliwangi City Forest Path Bandung
4;Damon Joseph;Pantai Glagah
5;Damon Joseph;Situs Warungboto
5;Damon Joseph;Gua Pawon
4;Damon Joseph;Wisata Eling Bening
3;Damon Joseph;Candi Ijo
3;Peter Krueger;Gunung Lalakon
3;Peter Krueger;Peta Park
5;Peter Krueger;Kampung Wisata Taman Sari
5;Peter Krueger;Taman Kasmaran
3;Peter Krueger;Taman Air Mancur Menari Kenjeran
2;Peter Krueger;Pura Giri Natha
5;Peter Krueger;Gereja Katedral
5;Peter Krueger;Waduk Jatibarang
3;Peter Krueger;Desa Wisata Lembah Kalipancur
5;Peter Krueger;Museum Pos Indonesia
4;Peter Krueger;Monumen Palagan Ambarawa
4;Peter Krueger;Pantai Siung
3;Peter Krueger;Museum Tengah Kebun
4;Peter Krueger;Mountain View Golf Club
2;Peter Krueger;Museum Wayang
3;Peter Krueger;Desa Wisata Sungai Code Jogja Kota
5;Peter Krueger;Wisata Lereng Kelir
4;Peter Krueger;Heha Sky View
2;Peter Krueger;Pasar Baru
2;Peter Krueger;Glamping Lakeside Rancabali
2;Peter Krueger;NuArt Sculpture Park
5;Peter Krueger;Pantai Kukup
4;Peter Krueger;NuArt Sculpture Park
5;Peter Krueger;Umbul Sidomukti
3;Peter Krueger;Sea World
3;Peter Krueger;Lembang Park & Zoo
2;Peter Krueger;Taman Bungkul
4;Peter Krueger;Pelabuhan Marina
3;Peter Krueger;Air Terjun Kali Pancur
2;Peter Krueger;Curug Cipanas
2;Peter Krueger;Ledok Sambi
4;Peter Krueger;Lava Bantal
2;Peter Krueger;Tebing Karaton
3;Peter Krueger;Klenteng Sanggar Agung
3;Peter Krueger;Candi Borobudur
3;Peter Krueger;Wisata Alam Wana Wisata Penggaron
2;Nadine Zamora;Gereja Katedral Santo Petrus Bandung
2;Nadine Zamora;Pasar Petak Sembilan
2;Nadine Zamora;Curug Anom
3;Nadine Zamora;De Mata Museum Jogja
4;Nadine Zamora;Galaxy Waterpark Jogja
2;Nadine Zamora;Museum Perangko
3;Nadine Zamora;Pantai Kesirat
2;Nadine Zamora;Kampoeng Tulip
3;Nadine Zamora;Taman Bungkul
4;Nadine Zamora;Curug Cipanas
4;Nadine Zamora;Wisata Kraton Jogja
5;Nadine Zamora;Jembatan Merah
4;Nadine Zamora;Margasatwa Muara Angke
2;Nadine Zamora;Kampung Batik Gedong Semarang
5;Nadine Zamora;Taman Bunga Celosia
4;Nadine Zamora;Caringin Tilu
4;Nadine Zamora;Taman Menteng
2;Nadine Zamora;Durian Gardens and Tourism Education Watu Simbar
5;Nadine Zamora;Bukit Jamur
4;Nadine Zamora;Museum TNI AL Loka Jala Crana
3;Nadine Zamora;Candi Prambanan
4;Nadine Zamora;Panghegar Waterboom Bandung
4;Nadine Zamora;Kampung Tematik Jawi
5;Nadine Zamora;Air Terjun Kedung Pedut
2;Nadine Zamora;Pecinan Glodok
3;Nadine Zamora;Taman Pandanaran
4;Nadine Zamora;Candi Prambanan
3;Nadine Zamora;Geoforest Watu Payung Turunan
5;Nadine Zamora;Bukit Bintang
4;Lorenzo Hurley;Jembatan Kota Intan
2;Lorenzo Hurley;Sam Poo Kong Temple
5;Lorenzo Hurley;Kebun Bibit Wonorejo
5;Lorenzo Hurley;Panama Park 825
5;Lorenzo Hurley;Kampung Tematik Jawi
4;Lorenzo Hurley;Wisata Eling Bening
2;Lorenzo Hurley;Kidzania
5;Lorenzo Hurley;Situ Patenggang
4;Lorenzo Hurley;Tebing Breksi
2;Lorenzo Hurley;Bumi Perkemahan Cibubur
4;Lorenzo Hurley;Wisata Batu Kuda
3;Lorenzo Hurley;Pulau Bidadari
4;Lorenzo Hurley;Desa Wisata Gamplong
2;Lorenzo Hurley;Pantai Sundak
3;Lorenzo Hurley;Taman Balai Kota Bandung
5;Lorenzo Hurley;Taman Pelangi Yogyakarta
3;Lorenzo Hurley;Pantai Sedahan
4;Lorenzo Hurley;Ciputra Waterpark
5;Lorenzo Hurley;Taman Suropati
3;Lorenzo Hurley;Panghegar Waterboom Bandung
4;Lorenzo Hurley;Museum Mandala Wangsit Siliwangi
4;Lorenzo Hurley;Hutan Kota Srengseng
5;Lorenzo Hurley;Pantai Ngrawe (Mesra)
5;Lorenzo Hurley;Pantai Nglambor
4;Lorenzo Hurley;Jembatan Merah
4;Lorenzo Hurley;Masjid Salman ITB
3;Lorenzo Hurley;Bandros City Tour
2;Lorenzo Hurley;Dunia Fantasi
4;Lorenzo Hurley;Taman Situ Lembang
3;Lorenzo Hurley;Kota Tua
3;Lorenzo Hurley;Desa Wisata Rumah Domes/Teletubbies
4;Lorenzo Hurley;Sea World
2;Lorenzo Hurley;Setu Babakan
2;Lorenzo Hurley;Perpustakaan Nasional
2;Lorenzo Hurley;Pemandian Air Panas Ciater
4;Lorenzo Hurley;Pantai Congot
3;Lorenzo Hurley;Nol Kilometer Jl.Malioboro
3;Lorenzo Hurley;Taman Buah Surabaya
4;Lorenzo Hurley;Masjid Agung Trans Studio Bandung
4;Lorenzo Hurley;Taman Buah Surabaya
3;Lorenzo Hurley;Glamping Lakeside Rancabali
2;Lorenzo Hurley;Wot Batu
3;Lorenzo Hurley;Perkebunan Teh Malabar
4;Lorenzo Hurley;Curug Aseupan
2;Lorenzo Hurley;Indonesia Kaya Park
3;Lorenzo Hurley;Wisata Eling Bening
3;Shelby Schmidt;Monumen Batik Yogyakarta
2;Shelby Schmidt;Rainbow Garden
5;Shelby Schmidt;Plaza Indonesia
4;Shelby Schmidt;Galeri Indonesia Kaya
3;Shelby Schmidt;Kota Lama Semarang
4;Shelby Schmidt;Cibubur Garden Diary (Cibugary)
5;Shelby Schmidt;Hutan Mangrove Kulon Progo
4;Shelby Schmidt;Taman Agrowisata Cilangkap
5;Shelby Schmidt;Museum Gunung Merapi
2;Shelby Schmidt;Pantai Jungwok
5;Shelby Schmidt;Desa Wisata Kelor
4;Shelby Schmidt;Museum Pos Indonesia
5;Shelby Schmidt;Surabaya North Quay
3;Shelby Schmidt;Ocean Ecopark
3;Shelby Schmidt;Museum Benteng Vredeburg Yogyakarta
4;Shelby Schmidt;Museum Joang 45
2;Shelby Schmidt;Masjid Nasional Al-Akbar
4;Shelby Schmidt;Bentara Budaya Yogyakarta (BBY)
5;Shelby Schmidt;Kampung Wisata Sosro Menduran
4;Shelby Schmidt;Wisata Alam Wana Wisata Penggaron
3;Shelby Schmidt;Taman Budaya Jawa Barat
2;Shelby Schmidt;Museum TNI AL Loka Jala Crana
3;Shelby Schmidt;Pantai Krakal
5;Shelby Schmidt;Plaza Indonesia
2;Shelby Schmidt;Balai Kota Surabaya
4;Shelby Schmidt;Jendela Alam
4;Shelby Schmidt;Pulau Semak Daun
3;Shelby Schmidt;Pantai Sepanjang
5;Shelby Schmidt;Pantai Kesirat
2;Shelby Schmidt;Gedung Agung Yogyakarta
4;Shelby Schmidt;Puncak Pinus Becici
3;Shelby Schmidt;Taman Pelangi
5;Shelby Schmidt;Gua Belanda
2;Shelby Schmidt;Ciwangun Indah Camp Official
5;Lindsay Cain;Pantai Wediombo
2;Lindsay Cain;Museum Sri Baduga
3;Lindsay Cain;Klenteng Sanggar Agung
3;Lindsay Cain;Desa Wisata Tembi
3;Lindsay Cain;Bukit Bintang Yogyakarta
2;Lindsay Cain;Museum Seni Rupa dan Kramik
3;Lindsay Cain;Pantai Timang
4;Lindsay Cain;Taman Miniatur Kereta Api
2;Lindsay Cain;Taman Prestasi
4;Lindsay Cain;Museum Sepuluh Nopember Kota Surabaya
2;Lindsay Cain;Kawasan Kuliner BSM
2;Lindsay Cain;Hutan Bambu Keputih
4;Lindsay Cain;Pantai Jogan
5;Lindsay Cain;Pasar Taman Puring
3;Lindsay Cain;Museum Nike Ardilla
3;Lindsay Cain;Kiara Artha Park
2;Lindsay Cain;Pantai Marina
2;Lindsay Cain;Galaxy Waterpark Jogja
3;Lindsay Cain;Pantai Ancol
3;Lindsay Cain;Pelabuhan Marina
5;Lindsay Cain;Istana Negara Republik Indonesia
4;Lindsay Cain;Green Village Gedangsari
3;Lindsay Cain;Jalan Braga
5;Lindsay Cain;Candi Borobudur
3;Lindsay Cain;Kyotoku Floating Market
4;Lindsay Cain;Kauman Pakualaman Yogyakarta
5;Lindsay Cain;Istana Negara Republik Indonesia
4;Lindsay Cain;Taman Mundu
5;Lindsay Cain;Kampoeng Tulip
3;Lindsay Cain;Curug Cimahi
5;Lindsay Cain;Blue Lagoon Jogja
5;Lindsay Cain;Pantai Congot
4;Lindsay Cain;Kota Mini
5;Lindsay Cain;Balai Kota Surabaya
3;Lindsay Cain;Desa Wisata Kelor
4;Lindsay Cain;Pasar Seni
4;Lindsay Cain;Atlantis Land Surabaya
3;Lindsay Cain;Taman Harmoni Keputih
4;Lindsay Cain;Kampoeng Kopi Banaran
5;Lindsay Cain;Air Terjun Sri Gethuk
5;Lindsay Cain;Pantai Jungwok
3;Lindsay Cain;Air Terjun Sri Gethuk
